Date	ISIN	SecurityDescription	AggregateHoldingOfFPIS	OutstandingPositionOfGovtSecurities	SecHoldings
20190422	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190422	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190422	IN0020160092	06.62 GS 2051	30	55000	0.05
20190422	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190422	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190422	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190422	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190422	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190422	IN0020160118	06.79 GS 2029	635.48	118801.123	0.53
20190422	IN0020100031	08.30 GS 2040	222.15	90000	0.25
20190422	IN0020020106	07.95 GS 2032	897.35	121000	0.74
20190422	IN0020140078	08.17 GS 2044	618.385	97000	0.64
20190422	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190422	IN0020180470	07.00 GS 2021	300	18000	1.67
20190422	IN0020090034	07.35 GS 2024	1306.846	90168.022	1.45
20190422	IN0020160035	06.97 GS 2026	1255.148	91578.393	1.37
20190422	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190422	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190422	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190422	IN0020150051	07.73 GS 2034	876.027	100000	0.88
20190422	IN0020050012	07.40 GS 2035	792	99245	0.8
20190422	IN0020150069	07.59 GS 2029	758.59	96236.793	0.79
20190422	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190422	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190422	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190422	IN0020170042	06.68 GS 2031	849.6	93251.703	0.91
20190423	IN0020120039	08.33 GS 2026	4194.51	90000	4.66
20190423	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190423	IN0020150036	07.72 GS 2025	3671.734	90031.814	4.08
20190423	IN0020140060	08.15 GS 2026	3268.14	86489.206	3.78
20190423	IN0020150028	07.88 GS 2030	3325.547	89000	3.74
20190423	IN0020160050	06.84 GS 2022	3538.581	99000	3.57
20190423	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190423	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190423	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190423	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190423	IN0020180454	07.26 GS 2029	878.241	34864.702	2.52
20190423	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190423	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190423	IN0020120054	08.12 GS 2020	2648.199	76000	3.48
20190423	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190423	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190423	IN0020110048	09.15 GS 2024	5157.41	92000	5.61
20190423	IN0020180025	07.37 GS 2023	6418.717	39987.813	16.05
20190423	IN0020130061	08.83 GS 2023	13276.591	83000	16
20190423	IN0020170174	07.17 GS 2028	16971.667	113148.448	15
20190423	IN0020150010	07.68 GS 2023	11148.059	88132.012	12.65
20190423	IN0020130012	07.16 GS 2023	9239.39	77100	11.98
20190423	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190423	IN0020150093	07.59 GS 2026	6607.904	119000	5.55
20190423	IN0020120013	08.15 GS 2022	8830.411	83000	10.64
20190423	IN0020180488	07.32 GS 2024	2167	23000	9.42
20190423	IN0020110022	07.80 GS 2021	5527.968	67492.661	8.19
20190423	IN0020110030	08.79 GS 2021	5890.832	83000	7.1
20190423	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190423	IN0020140011	08.60 GS 2028	5360.13	84000	6.38
20190423	IN0020170026	06.79 GS 2027	7327.488	121000	6.06
20190423	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190423	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190423	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190423	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190423	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190423	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190423	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190423	IN0020160092	06.62 GS 2051	30	55000	0.05
20190423	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190423	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190423	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190423	IN0020092071	GOI FRB 2020	15	13000	0.12
20190423	IN0020100031	08.30 GS 2040	222.15	90000	0.25
20190423	IN0020150044	08.13 GS 2045	265	98000	0.27
20190423	IN0020110063	08.83 GS 2041	357.5	90000	0.4
20190423	IN0020140052	08.24 GS 2033	392.812	99275	0.4
20190423	IN0020180017	06.65 GS 2020	184.2	43545.961	0.42
20190423	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190423	IN0020190016	07.27 GS 2026	25	5000	0.5
20190423	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190423	IN0020140078	08.17 GS 2044	618.385	97000	0.64
20190423	IN0020160118	06.79 GS 2029	635.48	118801.123	0.53
20190423	IN0020180470	07.00 GS 2021	300	18000	1.67
20190423	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190423	IN0020090034	07.35 GS 2024	1306.846	90168.022	1.45
20190423	IN0020160035	06.97 GS 2026	1255.148	91578.393	1.37
20190423	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190423	IN0020170042	06.68 GS 2031	849.6	93251.703	0.91
20190423	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190423	IN0020050012	07.40 GS 2035	792	99245	0.8
20190423	IN0020150069	07.59 GS 2029	758.59	96236.793	0.79
20190423	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190423	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190423	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190423	IN0020020106	07.95 GS 2032	897.35	121000	0.74
20190423	IN0020150051	07.73 GS 2034	876.027	100000	0.88
20190424	IN0020150028	07.88 GS 2030	3325.011	89000	3.74
20190424	IN0020120039	08.33 GS 2026	4194.51	90000	4.66
20190424	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190424	IN0020150036	07.72 GS 2025	3661.734	90031.814	4.07
20190424	IN0020140060	08.15 GS 2026	3268.14	86489.206	3.78
20190424	IN0020160050	06.84 GS 2022	3513.581	99000	3.55
20190424	IN0020180454	07.26 GS 2029	853.241	34864.702	2.45
20190424	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190424	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190424	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190424	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190424	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190424	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190424	IN0020120054	08.12 GS 2020	2648.199	76000	3.48
20190424	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190424	IN0020180488	07.32 GS 2024	2170	23000	9.43
20190424	IN0020110048	09.15 GS 2024	5157.41	92000	5.61
20190424	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190424	IN0020180025	07.37 GS 2023	6713.717	39987.813	16.79
20190424	IN0020130061	08.83 GS 2023	13276.591	83000	16
20190424	IN0020170174	07.17 GS 2028	17116.667	113148.448	15.13
20190424	IN0020150010	07.68 GS 2023	11145.708	88132.012	12.65
20190424	IN0020130012	07.16 GS 2023	9239.39	77100	11.98
20190424	IN0020150093	07.59 GS 2026	6587.904	119000	5.54
20190424	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190424	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190424	IN0020110022	07.80 GS 2021	5527.968	67492.661	8.19
20190424	IN0020110030	08.79 GS 2021	5890.832	83000	7.1
20190424	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190424	IN0020140011	08.60 GS 2028	5359.52	84000	6.38
20190424	IN0020170026	06.79 GS 2027	7327.488	121000	6.06
20190424	IN0020120013	08.15 GS 2022	8830.411	83000	10.64
20190424	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190424	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190424	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190424	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190424	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190424	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190424	IN0020160092	06.62 GS 2051	30	55000	0.05
20190424	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190424	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190424	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190424	IN0020092071	GOI FRB 2020	15	13000	0.12
20190424	IN0020100031	08.30 GS 2040	222.15	90000	0.25
20190424	IN0020150044	08.13 GS 2045	265	98000	0.27
20190424	IN0020110063	08.83 GS 2041	357.5	90000	0.4
20190424	IN0020140052	08.24 GS 2033	392.812	99275	0.4
20190424	IN0020180017	06.65 GS 2020	184.2	43545.961	0.42
20190424	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190424	IN0020190016	07.27 GS 2026	25	5000	0.5
20190424	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190424	IN0020140078	08.17 GS 2044	618.385	97000	0.64
20190424	IN0020180470	07.00 GS 2021	300	18000	1.67
20190424	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190424	IN0020090034	07.35 GS 2024	1306.846	90168.022	1.45
20190424	IN0020160035	06.97 GS 2026	1254.033	91578.393	1.37
20190424	IN0020160118	06.79 GS 2029	635.48	118801.123	0.53
20190424	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190424	IN0020170042	06.68 GS 2031	849.6	93251.703	0.91
20190424	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190424	IN0020050012	07.40 GS 2035	792	99245	0.8
20190424	IN0020150069	07.59 GS 2029	756.758	96236.793	0.79
20190424	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190424	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190424	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190424	IN0020020106	07.95 GS 2032	897.35	121000	0.74
20190424	IN0020150051	07.73 GS 2034	886.027	100000	0.89
20190425	IN0020120039	08.33 GS 2026	4194.51	90000	4.66
20190425	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190425	IN0020150036	07.72 GS 2025	3661.734	90031.814	4.07
20190425	IN0020140060	08.15 GS 2026	3268.14	86489.206	3.78
20190425	IN0020150028	07.88 GS 2030	3325.011	89000	3.74
20190425	IN0020160050	06.84 GS 2022	3513.581	99000	3.55
20190425	IN0020180454	07.26 GS 2029	863.241	34864.702	2.48
20190425	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190425	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190425	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190425	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190425	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190425	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190425	IN0020120054	08.12 GS 2020	2563.199	76000	3.37
20190425	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190425	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190425	IN0020110048	09.15 GS 2024	5157.41	92000	5.61
20190425	IN0020170026	06.79 GS 2027	7211.667	121000	5.96
20190425	IN0020140011	08.60 GS 2028	5359.52	84000	6.38
20190425	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190425	IN0020110030	08.79 GS 2021	5879.832	83000	7.08
20190425	IN0020110022	07.80 GS 2021	5477.968	67492.661	8.12
20190425	IN0020180488	07.32 GS 2024	2214	23000	9.63
20190425	IN0020120013	08.15 GS 2022	8830.411	83000	10.64
20190425	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190425	IN0020130012	07.16 GS 2023	9239.39	77100	11.98
20190425	IN0020150010	07.68 GS 2023	11145.708	88132.012	12.65
20190425	IN0020170174	07.17 GS 2028	17091.667	113148.448	15.11
20190425	IN0020130061	08.83 GS 2023	13276.591	83000	16
20190425	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190425	IN0020150093	07.59 GS 2026	6587.904	119000	5.54
20190425	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190425	IN0020180025	07.37 GS 2023	6733.717	39987.813	16.84
20190425	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190425	IN0020110063	08.83 GS 2041	367.5	90000	0.41
20190425	IN0020140052	08.24 GS 2033	392.812	99275	0.4
20190425	IN0020180017	06.65 GS 2020	149	43545.961	0.34
20190425	IN0020150044	08.13 GS 2045	265	98000	0.27
20190425	IN0020100031	08.30 GS 2040	178.25	90000	0.2
20190425	IN0020092071	GOI FRB 2020	15	13000	0.12
20190425	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190425	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190425	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190425	IN0020160092	06.62 GS 2051	30	55000	0.05
20190425	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190425	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190425	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190425	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190425	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190425	IN0020190016	07.27 GS 2026	25	5000	0.5
20190425	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190425	IN0020140078	08.17 GS 2044	618.385	97000	0.64
20190425	IN0020160118	06.79 GS 2029	635.48	118801.123	0.53
20190425	IN0020180470	07.00 GS 2021	300	18000	1.67
20190425	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190425	IN0020090034	07.35 GS 2024	1306.846	90168.022	1.45
20190425	IN0020160035	06.97 GS 2026	1254.033	91578.393	1.37
20190425	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190425	IN0020170042	06.68 GS 2031	849.6	93251.703	0.91
20190425	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190425	IN0020050012	07.40 GS 2035	792	99245	0.8
20190425	IN0020150069	07.59 GS 2029	756.758	96236.793	0.79
20190425	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190425	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190425	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190425	IN0020020106	07.95 GS 2032	897.35	121000	0.74
20190425	IN0020150051	07.73 GS 2034	886.027	100000	0.89
20190426	IN0020150028	07.88 GS 2030	3325.011	89000	3.74
20190426	IN0020120039	08.33 GS 2026	4124.51	90000	4.58
20190426	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190426	IN0020150036	07.72 GS 2025	3661.734	90031.814	4.07
20190426	IN0020140060	08.15 GS 2026	3268.14	86489.206	3.78
20190426	IN0020160050	06.84 GS 2022	3488.581	99000	3.52
20190426	IN0020180454	07.26 GS 2029	863.241	34864.702	2.48
20190426	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190426	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190426	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190426	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190426	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190426	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190426	IN0020120054	08.12 GS 2020	2563.199	76000	3.37
20190426	IN0020150093	07.59 GS 2026	5868.904	119000	4.93
20190426	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190426	IN0020110048	09.15 GS 2024	5157.41	92000	5.61
20190426	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190426	IN0020180025	07.37 GS 2023	6748.717	39987.813	16.88
20190426	IN0020130061	08.83 GS 2023	13276.591	83000	16
20190426	IN0020170174	07.17 GS 2028	16496.667	113148.448	14.58
20190426	IN0020150010	07.68 GS 2023	11145.708	88132.012	12.65
20190426	IN0020130012	07.16 GS 2023	9239.39	77100	11.98
20190426	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190426	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190426	IN0020180488	07.32 GS 2024	2294	23000	9.97
20190426	IN0020110022	07.80 GS 2021	5447.968	67492.661	8.07
20190426	IN0020110030	08.79 GS 2021	5879.832	83000	7.08
20190426	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190426	IN0020140011	08.60 GS 2028	5359.52	84000	6.38
20190426	IN0020170026	06.79 GS 2027	7211.667	121000	5.96
20190426	IN0020120013	08.15 GS 2022	8830.411	83000	10.64
20190426	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190426	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190426	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190426	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190426	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190426	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190426	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190426	IN0020160092	06.62 GS 2051	30	55000	0.05
20190426	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190426	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190426	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190426	IN0020092071	GOI FRB 2020	15	13000	0.12
20190426	IN0020150044	08.13 GS 2045	265	98000	0.27
20190426	IN0020180017	06.65 GS 2020	149	43545.961	0.34
20190426	IN0020140052	08.24 GS 2033	392.812	99275	0.4
20190426	IN0020110063	08.83 GS 2041	367.5	90000	0.41
20190426	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190426	IN0020190016	07.27 GS 2026	25	5000	0.5
20190426	IN0020100031	08.30 GS 2040	178.25	90000	0.2
20190426	IN0020140078	08.17 GS 2044	618.385	97000	0.64
20190426	IN0020180470	07.00 GS 2021	300	18000	1.67
20190426	IN0020160118	06.79 GS 2029	635.48	118801.123	0.53
20190426	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190426	IN0020090034	07.35 GS 2024	1316.846	90168.022	1.46
20190426	IN0020160035	06.97 GS 2026	1254.033	91578.393	1.37
20190426	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190426	IN0020170042	06.68 GS 2031	849.6	93251.703	0.91
20190426	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190426	IN0020050012	07.40 GS 2035	792	99245	0.8
20190426	IN0020150069	07.59 GS 2029	756.758	96236.793	0.79
20190426	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190426	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190426	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190426	IN0020020106	07.95 GS 2032	897.35	121000	0.74
20190426	IN0020150051	07.73 GS 2034	886.027	100000	0.89
20190430	IN0020150028	07.88 GS 2030	3325.011	89000	3.74
20190430	IN0020120039	08.33 GS 2026	4124.51	90000	4.58
20190430	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190430	IN0020150036	07.72 GS 2025	3561.734	90031.814	3.96
20190430	IN0020140060	08.15 GS 2026	3260.58	86489.206	3.77
20190430	IN0020160050	06.84 GS 2022	3488.581	99000	3.52
20190430	IN0020180454	07.26 GS 2029	838.241	40864.702	2.05
20190430	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190430	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190430	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190430	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190430	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190430	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190430	IN0020120054	08.12 GS 2020	2563.199	76000	3.37
20190430	IN0020150093	07.59 GS 2026	5868.904	119000	4.93
20190430	IN0020180025	07.37 GS 2023	6728.717	39987.813	16.83
20190430	IN0020110048	09.15 GS 2024	5007.67	92000	5.44
20190430	IN0020170026	06.79 GS 2027	7211.667	121000	5.96
20190430	IN0020140011	08.60 GS 2028	5359.52	84000	6.38
20190430	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190430	IN0020110030	08.79 GS 2021	5879.832	83000	7.08
20190430	IN0020110022	07.80 GS 2021	5447.968	67492.661	8.07
20190430	IN0020180488	07.32 GS 2024	2294	28000	8.19
20190430	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190430	IN0020120013	08.15 GS 2022	8788.911	83000	10.59
20190430	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190430	IN0020130012	07.16 GS 2023	9238.71	77100	11.98
20190430	IN0020150010	07.68 GS 2023	11145.708	88132.012	12.65
20190430	IN0020170174	07.17 GS 2028	16501.667	113148.448	14.58
20190430	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190430	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190430	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190430	IN0020130061	08.83 GS 2023	13233.764	83000	15.94
20190430	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190430	IN0020110063	08.83 GS 2041	367.5	90000	0.41
20190430	IN0020140052	08.24 GS 2033	392.812	99275	0.4
20190430	IN0020180017	06.65 GS 2020	149	43545.961	0.34
20190430	IN0020150044	08.13 GS 2045	265	98000	0.27
20190430	IN0020100031	08.30 GS 2040	178.25	90000	0.2
20190430	IN0020092071	GOI FRB 2020	15	13000	0.12
20190430	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190430	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190430	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190430	IN0020160092	06.62 GS 2051	30	55000	0.05
20190430	IN0020060045	08.33 GS 2036	30.14	86000	0.04
20190430	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190430	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190430	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190430	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190430	IN0020190016	07.27 GS 2026	25	5000	0.5
20190430	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190430	IN0020140078	08.17 GS 2044	598.385	97000	0.62
20190430	IN0020160118	06.79 GS 2029	626.98	118801.123	0.53
20190430	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190430	IN0020090034	07.35 GS 2024	1320.946	90168.022	1.46
20190430	IN0020160035	06.97 GS 2026	1254.033	91578.393	1.37
20190430	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190430	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190430	IN0020170042	06.68 GS 2031	851.572	93251.703	0.91
20190430	IN0020180470	07.00 GS 2021	310	18000	1.72
20190430	IN0020050012	07.40 GS 2035	792	99245	0.8
20190430	IN0020150069	07.59 GS 2029	756.758	96236.793	0.79
20190430	IN0020020106	07.95 GS 2032	937.35	121000	0.77
20190430	IN0020070036	08.26 GS 2027	560	73728.006	0.76
20190430	IN0020160068	07.06 GS 2046	750.21	100000	0.75
20190430	IN0020150051	07.73 GS 2034	883.307	100000	0.88
20190430	IN0020110055	08.97 GS 2030	666.5	90000	0.74
20190502	IN0020120039	08.33 GS 2026	4124.51	90000	4.58
20190502	IN0020140045	08.40 GS 2024	4066.411	90000	4.52
20190502	IN0020150036	07.72 GS 2025	3561.734	90031.814	3.96
20190502	IN0020140060	08.15 GS 2026	3260.58	86489.206	3.77
20190502	IN0020150028	07.88 GS 2030	3325.011	89000	3.74
20190502	IN0020160050	06.84 GS 2022	3488.581	99000	3.52
20190502	IN0020140029	08.27 GS 2020	1951.092	73000	2.67
20190502	IN0020070069	08.28 GS 2027	2650.533	90000.721	2.95
20190502	IN0020130038	07.28 GS 2019	1070.079	41188	2.6
20190502	IN0020060318	07.94 GS 2021	1258.8	49425	2.55
20190502	IN0020120047	08.20 GS 2025	2244.1	90000	2.49
20190502	IN0020070051	08.13 GS 2022	3384.7	70495.28	4.8
20190502	IN0020180454	07.26 GS 2029	856.241	40864.702	2.1
20190502	IN0020120054	08.12 GS 2020	2563.199	76000	3.37
20190502	IN0020150093	07.59 GS 2026	5868.904	119000	4.93
20190502	IN0020180488	07.32 GS 2024	2401	28000	8.58
20190502	IN0020110048	09.15 GS 2024	5007.67	92000	5.44
20190502	IN0020170026	06.79 GS 2027	7211.667	121000	5.96
20190502	IN0020140011	08.60 GS 2028	5359.52	84000	6.38
20190502	IN0020020072	08.35 GS 2022	5194.55	77000	6.75
20190502	IN0020110030	08.79 GS 2021	5879.832	83000	7.08
20190502	IN0020110022	07.80 GS 2021	5447.968	67492.661	8.07
20190502	IN0020060037	08.20 GS 2022	5440.7	57632.33	9.44
20190502	IN0020120013	08.15 GS 2022	8788.911	83000	10.59
20190502	IN0020070028	08.08 GS 2022	7909.438	68969.411	11.47
20190502	IN0020130012	07.16 GS 2023	9238.71	77100	11.98
20190502	IN0020150010	07.68 GS 2023	11142.258	88132.012	12.64
20190502	IN0020170174	07.17 GS 2028	16510.321	113148.448	14.59
20190502	IN0020130061	08.83 GS 2023	13233.764	83000	15.94
20190502	IN0020110071	08.19 GS 2020	1498.233	74000	2.02
20190502	IN0020060078	08.24 GS 2027	5966.055	111388.55	5.36
20190502	IN0020020171	06.35 GS 2020	1200.014	61000	1.97
20190502	IN0020180025	07.37 GS 2023	6823.717	39987.813	17.06
20190502	IN0020160019	07.61 GS 2030	1636.224	85000	1.92
20190502	IN0020030055	06.17 GS 2023	2.2	14000	0.02
20190502	IN0020000025	10.70 GS 2020	1.55	6000	0.03
20190502	IN0020060086	08.28 GS 2032	30	90687.11	0.03
20190502	IN0020160092	06.62 GS 2051	30	55000	0.05
20190502	IN0020070044	08.32 GS 2032	55	89434.05	0.06
20190502	IN0020090042	06.90 GS 2019	30.363	42840	0.07
20190502	IN0020040039	07.50 GS 2034	88.5	99101.13	0.09
20190502	IN0020092071	GOI FRB 2020	15	13000	0.12
20190502	IN0020100031	08.30 GS 2040	178.25	90000	0.2
20190502	IN0020150044	08.13 GS 2045	265	98000	0.27
20190502	IN0020180017	06.65 GS 2020	149	43545.961	0.34
20190502	IN0020140052	08.24 GS 2033	389.115	99275	0.39
20190502	IN0020110063	08.83 GS 2041	367.5	90000	0.41
20190502	IN0020130053	09.20 GS 2030	270.051	61884.55	0.44
20190502	IN0020190016	07.27 GS 2026	25	5000	0.5
20190502	IN0020130079	09.23 GS 2043	1537	79472.28	1.93
20190502	IN0020140078	08.17 GS 2044	598.385	97000	0.62
20190502	IN0020180470	07.00 GS 2021	310	18000	1.72
20190502	IN0020100015	07.80 GS 2020	1113.93	75000	1.49
20190502	IN0020090034	07.35 GS 2024	1317.128	90168.022	1.46
20190502	IN0020160035	06.97 GS 2026	1254.033	91578.393	1.37
20190502	IN0020160118	06.79 GS 2029	626.98	118801.123	0.53
20190502	IN0020120062	08.30 GS 2042	1074.15	104529.44	1.03
20190502	IN0020170042	06.68 GS 2031	876.572	93251.703	0.94
20190502	IN0020160100	06.57 GS 2033	690	66655.887	1.04
20190502	IN0020050012	07.40 GS 2035	792	99245	0.8
20190502	IN0020150069	07.59 GS 2029	756.758	96236.793	0.79
20190502	IN0020020106	07.95 GS 2032	937.35	121000	0.77
